Sector,ESG_metric,Perf_metric,n,pearson_r,p_value,significant
Communication Services,Environment Risk Score,cum_return,16120,-0.3013472032701534,0.0,True
Communication Services,Environment Risk Score,volatility,16120,-0.16077702204081482,8.498439635696452e-94,True
Communication Services,Governance Risk Score,daily_return,16120,0.014151061259834893,0.07239375585152728,False
Communication Services,Governance Risk Score,cum_return,16120,0.6130337989815708,0.0,True
Communication Services,Governance Risk Score,volatility,16120,0.31571720707646606,0.0,True
Communication Services,Social Risk Score,daily_return,16120,0.00433219376331841,0.5823227954350574,False
Communication Services,Social Risk Score,cum_return,16120,0.19450599843013883,3.354402385992267e-137,True
Communication Services,Social Risk Score,volatility,16120,0.13289404028828725,2.0343207485943868e-64,True
Communication Services,Controversy Score,daily_return,16120,0.007784541333275776,0.3230061322870885,False
Communication Services,Controversy Score,cum_return,16120,0.40704770605207946,0.0,True
Communication Services,Controversy Score,volatility,16120,0.04364871267805029,2.955508886147935e-08,True
